type,value
"value","shoe"
"until","knife"
"fewer","has"
"equal","teeth"
"little","meal"
"toward","aloud"
"may","dear"
"prepare","rocket"
"paint","vertical"
"am","belt"
"slave","speech"
"refused","call"
"repeat","air"
"solid","setting"
"funny","valley"
"globe","coming"
"accurate","eaten"
"sentence","he"
"face","office"
"rapidly","folks"
"function","pattern"
"explain","grow"
"mood","aid"
"some","where"
"conversation","rod"
"lost","central"
"cattle","been"
"cabin","butter"
"flag","term"
"sheet","cool"
"trade","mouth"
"angry","date"
"ground","silly"
"atmosphere","repeat"
"bottle","family"
"environment","tightly"
"visit","everything"
"flag","answer"
"bigger","sure"
"bet","verb"
"hot","brush"
"touch","fighting"
"influence","hardly"
"board","eye"
"pencil","have"
"different","taken"
"difficulty","surprise"
"another","higher"
"white","successful"
"son","place"
"single","system"
"pattern","stems"
"follow","necessary"
"fair","colony"
"yard","tube"
"anyone","characteristic"
"diameter","saw"
"wish","pencil"
"disappear","ranch"
"elephant","private"
"forest","real"
"goose","lucky"
"blow","army"
"news","please"
"piece","relationship"
"largest","probably"
"truth","maybe"
"warm","forgot"
"edge","movement"
"rod","seen"
"college","solve"
"house","began"
"loose","belt"
"already","handsome"
"move","held"
"hello","system"
"industrial","in"
"state","knowledge"
"potatoes","silly"
"basket","kids"
"yourself","lamp"
"closely","thought"
"ability","grandfather"
"chicken","neck"
"sort","speed"
"save","graph"
"yard","such"
"purpose","firm"
"industrial","battle"
"elephant","failed"
"definition","river"
"review","term"
"trap","unhappy"
"package","difficult"
"man","battle"
"speed","realize"
"importance","newspaper"
"strength","nearer"
"main","discovery"
"mathematics","anything"
"along","lake"
